Action,Ação
"Add Child Note","Adicionar nota de criança"
"Add Jadlog","Adicionar Jadlog"
"Add Log","Adicionar registo"
"Add Note","Adicionar nota"
"Add Ping","Adicionar Ping"
"Add Root Note","Adicionar nota de raiz"
"Add note","Adicionar nota"
Add,Adicionar
"An error occurred while trying to delete the note.","Ocorreu um erro ao tentar excluir a nota."
"Are you sure?","Tem certeza?"
"Assign product to note","Atribuir o produto a nota"
"Associated products","Produtos associados"
CSV,CSV
"Can't delete root note.","Não é possível excluir nota raiz."
"Cannot move parent inside note","Não é possível mover o pai dentro de nota"
"Change status","Alterar status"
City,Cidade
"Collapse All","Recolher tudo"
Content,Conteúdo
"Could not find jadlog to delete.","Não foi possível encontrar a jadlog para excluir."
"Could not find log to delete.","Não foi possível encontrar o log para excluir."
"Could not find note to delete.","Não foi possível encontrar a nota para excluir."
"Could not find ping to delete.","Não foi possível encontrar o ping para excluir."
Country,País
"Data cannot be null","Dados não podem ser nulo"
"Date of event","Data do evento"
"Delete Jadlog","Excluir Jadlog"
"Delete Log","Excluir registro"
"Delete Note","Excluir Nota"
"Delete Ping","Excluir o Ping"
Delete,Excluir
Disabled,"Desativado"
"Display as tree","Exibir como árvore"
"Edit Jadlog '%s'","Editar Jadlog ' %s'"
"Edit Log '%s'","Editar Log ' %s'"
"Edit Note '%s'","Editar nota ' %s'"
"Edit Ping '%s'","Editar Ping ' %s'"
Edit,Editar
Email,Email
Enabled,Habilitado
"Error while removing note. Details in error message.","Erro ao remover a nota. Detalhes na mensagem de erro."
"Error while saving note. Details in error message.","Erro ao salvar a nota. Detalhes na mensagem de erro."
Excel,Excel
"Expand All","Expandir tudo"
Home,Casa
"ID: %s","ID: %s"
"IP Address","Endereço IP"
Id,ID
Identifier,Identificador
Info,Informação
"Jadlog was successfully deleted.","Jadlog foi excluído com êxito."
"Jadlog was successfully saved","Jadlog foi salvo com sucesso"
Jadlog,Jadlog
Jadlogs,Jadlogs
List,Lista
"Log was successfully deleted.","Registro foi excluído com êxito."
"Log was successfully saved","Log foi salvo com sucesso"
Log,Log
Logs,Logs
"Manage Notes","Gerenciar notas"
"Meta information","Meta informação"
Meta,Meta
Meta-description,Meta-Descrição
Meta-keywords,Meta-palavras-chave
Meta-title,Meta-título
"Move note in tree","Nota do movimento na árvore"
"New Note","Nova nota"
"New Root Note","Nova nota de raiz"
No,Não
None,Nenhum
"Note API","Nota API"
"Note move error","Nota mover erro"
"Note move operation is not possible: parent note is equal to child note.","Operação de movimentação de nota não é possível: pai nota é igual a nota da criança."
"Note move operation is not possible: the current note was not found.","Operação de movimentação de nota não é possível: a nota atual não foi encontrada."
"Note move operation is not possible: the new parent note was not found.","Operação de movimentação de nota não é possível: a nova nota de pai não foi encontrada."
"Note not moved. Details in error message.","Nota não mudou. Detalhes na mensagem de erro."
"Note was successfully deleted.","Nota foi Excluídoda com êxito."
"Note was successfully saved","Nota foi salvo com sucesso"
Note,Nota
Notes,Notas
"Order ID Jadlog","Ordem ID Jadlog"
"Order ID Magento","Ordem ID Magento"
"Ping was successfully deleted.","Ping foi Excluídoda com êxito."
"Ping was successfully saved","Ping foi salvo com sucesso"
Ping,Ping
Pings,Pings
"Please select jadlogs to delete.","Por favor selecione jadlogs para excluir."
"Please select jadlogs.","Por favor, selecione jadlogs."
"Please select logs to delete.","Por favor selecione logs para excluir."
"Please select logs.","Por favor selecione logs."
"Please select notes to delete.","Por favor selecione notas para excluir."
"Please select notes.","Por favor selecione notas."
"Please select pings to delete.","Por favor selecione pings para excluir."
"Please select pings.","Por favor selecione pings."
Position,Posição
"Product does not exist.","Produto não existe."
"Provided data is invalid.","Dados fornecido são inválidos."
"Relative to Website Base URL","Em relação a URL Base do site"
"Remove note","Remover a nota"
"Remove product from note","Remover o produto da nota"
Remove,Remover
"Requested note does not exist.","Nota solicitada não existe."
"Retrieve list of notes","Recuperar a lista de notas"
"Retrieve note info","Recuperar informações da nota"
"Retrieve one level of  notes","Recuperar um nível de notas"
Root,Raiz
"Save And Continue Edit","Salvar e continuar a editar"
"Save Jadlog","Salvar Jadlog"
"Save Log","Salvar Log"
"Save Note","Salvar a nota"
"Save Ping","Salvar o Ping"
"Show in rss","Mostrar em rss"
Status,Status
"Store views","Loja visualizações"
"The URL key cannot consist only of numbers.","A chave de URL não pode consistir apenas de números."
"The URL key contains capital letters or disallowed symbols.","A URL contém letras maiúsculas ou não permitidos de símbolos."
"The note has been saved.","A nota foi salvo."
